id,name,type,out_strength,in_strength,betweenness
A Arthur Capell,A Arthur Capell,archive_holder,1,0,0.0
A B Andrew Barton Paterson,A B Andrew Barton Paterson,archive_holder,7,0,1.7944234945601402e-06
A D Alec Derwent Hope,A D Alec Derwent Hope,archive_holder,21,0,0.017066668136680018
A D Andrew David Spaull,A D Andrew David Spaull,archive_holder,4,0,0.0
A E Melville,A E Melville,archive_holder,5,0,3.2897764066935904e-06
A F Alice F Strudwick,A F Alice F Strudwick,archive_holder,3,0,0.0
A G Alfred George Collector Stephens,A G Alfred George Collector Stephens,archive_holder,44,0,0.013778318430082344
A G Alfred George Stephens,A G Alfred George Stephens,archive_holder,8,0,0.0010914039272911817
A Grove Arthur Grove Day,A Grove Arthur Grove Day,archive_holder,9,0,0.0009400764287148953
A James Anthony James Hammerton,A James Anthony James Hammerton,archive_holder,3,0,0.0
A L Alan Lindsey McLeod,A L Alan Lindsey McLeod,archive_holder,3,0,0.00031581853504258466
A P Allan Percy Fleming,A P Allan Percy Fleming,archive_holder,17,0,0.008397750091161867
A S Anthony Sylvester Luchetti,A S Anthony Sylvester Luchetti,archive_holder,3,0,0.0
A T Bolton,A T Bolton,archive_holder,20,0,0.007285515983870421
Adelaide Lubbock,Adelaide Lubbock,archive_holder,3,0,5.9814116485338e-07
Adriana Delprat,Adriana Delprat,archive_holder,2,0,0.0012560964461920982
Aeneas Mrs Gunn,Aeneas Mrs Gunn,archive_holder,15,0,0.0033050290063973515
Aileen Palmer,Aileen Palmer,archive_holder,17,0,0.0021532691352835398
Alan Alan Douglas Reid,Alan Alan Douglas Reid,archive_holder,1,0,0.0
Alan D Alan Durward Mickle,Alan D Alan Durward Mickle,archive_holder,1,0,0.0
Alan Frost,Alan Frost,archive_holder,2,0,0.00015790926752129233
Alan Gould,Alan Gould,archive_holder,20,4,0.008415952930024173
Alan Holgate,Alan Holgate,archive_holder,4,1,0.0014137066431309637
Alan Marshall,Alan Marshall,archive_holder,30,13,0.017624272827876267
Alan Moorehead,Alan Moorehead,archive_holder,5,2,0.0
Alan Seymour,Alan Seymour,archive_holder,12,5,0.0027048642867612688
Alan Shadwick,Alan Shadwick,archive_holder,3,2,0.0003152203938777313
Alan Sir Watt,Alan Sir Watt,archive_holder,9,0,1.3458176209201051e-05
Alan Villiers,Alan Villiers,archive_holder,4,0,0.0015713168400698294
Albie Thoms,Albie Thoms,archive_holder,14,0,0.005150170508583617
Alec Bagot,Alec Bagot,archive_holder,1,0,0.0
Alec H Alec Hugh Chisholm,Alec H Alec Hugh Chisholm,archive_holder,2,0,0.0
Alexander Buzo,Alexander Buzo,archive_holder,25,1,0.008026578370325594
Alexander Craig,Alexander Craig,archive_holder,2,2,0.00031581853504258466
Alexander Wilson,Alexander Wilson,archive_holder,1,0,0.0
Alfred Deakin,Alfred Deakin,archive_holder,1,9,0.006700949161015839
Alison Broinowski,Alison Broinowski,archive_holder,30,1,0.01135115272764779
Allan Aldous,Allan Aldous,archive_holder,9,0,0.002201757627825292
Allan Scarfe,Allan Scarfe,archive_holder,12,0,0.0
Amirah Inglis,Amirah Inglis,archive_holder,5,2,0.0007989551737527619
Andras Dezsery,Andras Dezsery,archive_holder,1,0,0.0
Andrew Fabinyi,Andrew Fabinyi,archive_holder,1,2,0.00019193571345919289
Andrew Taylor,Andrew Taylor,archive_holder,2,1,0.00016171366280064668
Ann Moyal,Ann Moyal,archive_holder,15,1,0.004442419783724031
